InputFilename,M,N,CompressionTime,CompressionRatio,Nodes,Ntasks,CpusPerTask
./Lenna.jpg,4,16,3.53054,1.02912,1,4,2
./Lenna.jpg,4,4,5.49428,1.2298,1,1,4
./Lenna.jpg,4,16,6.35976,1.09816,1,4,4
./Lenna.jpg,4,4,6.9828,1.18318,1,2,2
./Lenna.jpg,4,4,6.56635,1.17324,1,4,4
./Lenna.jpg,4,16,7.14152,1.08645,1,2,2
./Lenna.jpg,4,4,7.5552,1.24267,1,1,2
./Lenna.jpg,4,16,7.0117,1.07678,1,2,4
./Lenna.jpg,4,4,7.35181,1.20375,1,2,4
./Lenna.jpg,4,16,7.94612,1.05126,1,1,4
./Lenna.jpg,4,16,9.69844,1.07421,1,1,2
./Lenna.jpg,4,4,9.4864,1.18538,1,4,2
./Lenna.jpg,16,16,14.558,1.22059,1,2,4
./Lenna.jpg,16,16,19.4249,1.31277,1,4,2
./Lenna.jpg,16,16,20.0885,1.22443,1,4,4
./Lenna.jpg,16,16,20.6089,1.42143,1,2,2
./Lenna.jpg,16,16,24.5235,1.17481,1,1,2
./Lenna.jpg,16,16,34.0934,1.40988,1,1,4
./beach.jpg,4,4,22.8476,0.226415,1,2,4
./beach.jpg,4,4,23.2272,0.23135,1,1,4
./beach.jpg,4,4,31.2116,0.224946,1,1,2
./beach.jpg,4,16,33.2478,0.21462,1,2,2
./beach.jpg,4,16,38.6025,0.207461,1,2,4
./beach.jpg,4,4,39.5432,0.215747,1,4,2
./beach.jpg,4,4,40.1497,0.226893,1,4,4
./beach.jpg,4,4,48.9675,0.224404,1,2,2
./beach.jpg,4,16,53.1295,0.213653,1,1,2
./beach.jpg,4,16,57.9872,0.208336,1,1,4
./beach.jpg,4,16,67.5439,0.208668,1,4,2
./beach.jpg,16,16,111.935,0.288719,1,2,2
./beach.jpg,16,16,127.826,0.252651,1,4,2
./beach.jpg,4,16,135.073,0.204483,1,4,4
./beach.jpg,16,16,143.661,0.262895,1,2,4
./beach.jpg,16,16,200.651,0.284983,1,1,4
./beach.jpg,16,16,209.582,0.249874,1,4,4
./beach.jpg,16,16,246.58,0.242719,1,1,2
./capybara.jpg,4,4,64.9291,0.114569,1,4,4
./capybara.jpg,4,16,66.6428,0.101701,1,4,2
./capybara.jpg,4,16,81.3122,0.0994408,1,2,4
./capybara.jpg,4,4,81.7167,0.114311,1,2,2
./capybara.jpg,4,4,89.5629,0.11264,1,1,4
./capybara.jpg,4,16,92.4182,0.099827,1,1,4
./capybara.jpg,4,4,121.524,0.110832,1,1,2
./capybara.jpg,4,16,136.039,0.100903,1,2,2
./capybara.jpg,4,4,140.924,0.110143,1,2,4
./capybara.jpg,4,4,143.2,0.114327,1,4,2
./capybara.jpg,4,16,169.223,0.100173,1,4,4
./capybara.jpg,16,16,175.915,0.111148,1,2,4
./capybara.jpg,16,16,184.979,0.119831,1,2,2
./capybara.jpg,4,16,185.614,0.103839,1,1,2
./capybara.jpg,16,16,306.555,0.125093,1,1,4
./capybara.jpg,16,16,356.18,0.110094,1,4,4
./capybara.jpg,16,16,371.991,0.115574,1,4,2
./capybara.jpg,16,16,432.634,0.111204,1,1,2
